date,dailyCases,smoothedCases,cumulativeCases,Population,peak
2020-08-02,30,49,28823,2065647,NA
2020-08-03,45,50,28873,2065647,NA
2020-08-04,64,54,28927,2065647,NA
2020-08-05,47,51,28978,2065647,NA
2020-08-06,21,45,29023,2065647,NA
2020-08-07,46,43,29066,2065647,NA
2020-08-08,37,41,29107,2065647,NA
2020-08-09,36,42,29149,2065647,NA
2020-08-10,34,41,29190,2065647,NA
2020-08-11,36,37,29227,2065647,NA
2020-08-12,34,35,29262,2065647,NA
2020-08-13,38,37,29299,2065647,NA
2020-08-14,30,35,29334,2065647,NA
2020-08-15,14,32,29366,2065647,NA
2020-08-16,12,28,29394,2065647,NA
2020-08-17,17,26,29420,2065647,NA
2020-08-18,16,23,29443,2065647,NA
2020-08-19,22,21,29464,2065647,NA
2020-08-20,34,21,29485,2065647,NA
2020-08-21,33,21,29506,2065647,NA
2020-08-22,20,22,29528,2065647,NA
2020-08-23,23,24,29552,2065647,NA
2020-08-24,10,23,29575,2065647,NA
2020-08-25,30,25,29600,2065647,NA
2020-08-26,42,27,29627,2065647,NA
2020-08-27,43,29,29656,2065647,NA
2020-08-28,24,27,29683,2065647,NA
2020-08-29,55,32,29715,2065647,NA
2020-08-30,13,31,29746,2065647,NA
2020-08-31,32,34,29780,2065647,NA
2020-09-01,35,35,29815,2065647,2
2020-09-02,36,34,29849,2065647,2
2020-09-03,70,38,29887,2065647,2
2020-09-04,49,41,29928,2065647,2
2020-09-05,67,43,29971,2065647,2
2020-09-06,59,50,30021,2065647,2
2020-09-07,51,52,30073,2065647,2
2020-09-08,72,58,30131,2065647,2
2020-09-09,70,63,30194,2065647,2
2020-09-10,89,65,30259,2065647,2
2020-09-11,108,74,30333,2065647,2
2020-09-12,71,74,30407,2065647,2
2020-09-13,96,80,30487,2065647,2
2020-09-14,73,83,30570,2065647,2
2020-09-15,94,86,30656,2065647,2
2020-09-16,79,87,30743,2065647,2
2020-09-17,71,85,30828,2065647,2
2020-09-18,200,98,30926,2065647,2
2020-09-19,139,107,31033,2065647,2
2020-09-20,204,123,31156,2065647,2
2020-09-21,141,133,31289,2065647,2
2020-09-22,169,143,31432,2065647,2
2020-09-23,254,168,31600,2065647,2
2020-09-24,231,191,31791,2065647,2
2020-09-25,288,204,31995,2065647,2
2020-09-26,343,233,32228,2065647,2
2020-09-27,276,243,32471,2065647,2
2020-09-28,282,263,32734,2065647,2
2020-09-29,354,290,33024,2065647,2
2020-09-30,315,298,33322,2065647,2
2020-10-01,308,309,33631,2065647,2
2020-10-02,415,328,33959,2065647,2
2020-10-03,372,332,34291,2065647,2
2020-10-04,304,336,34627,2065647,2
2020-10-05,280,335,34962,2065647,2
2020-10-06,257,322,35284,2065647,2
